Ruund	French
Anch amukatwul nzool mutw, akwaaw akaat koov wushoon mulong ridy ruf raw awonsw	Lorsqu’on tranche la tête à une poule, les autres ne s’en réjouissent pas parce que cette mort les concerne toutes.
Anch mukween wakukiish maar, wukuleejin mwa kubas	Si votre frère/ami vous prive du vin, il vous apprend comment en extraire vous-même.
Anch mukween wakukiish makund, wukeepishin mikiij	Si un proche de vous vous prive les haricots, c’est qu’il vous évite les désagréments de la constipation.
Anch wamujimbul chiswump, wupatang ku chiis	 Il ne faut jamais souhaiter affronter un danger, autrement il faut bien prévoir de bonnes dispositions.
Anch wakwaat mwimbund mwa maween wukwaatang kaamw, chamwaamw wukukuleejan.	Si par mégarde tu touches ta belle-mère, va plus loin comme l’infraction est déjà consommée si non elle va te dénoncer.
Anch walaal twul, piikil wavurameen yoon	Même quand on dort, on doit avoir une oreille attentive à ce qui se passe autour ou dehors.
Anch wamukwaat muntw wulaj, damashik yeeya wukukwaataaw	Si tu accuse une personne de sorcellerie, demain c’est toi qu’on accusera aussi de la même pratique.
Anch wapongil, wusany wingang wukushalakw	Si tu recours à la divination pour découvrir les sortilèges, il te faudrait un peu feindre le guérisseur, développer des astuces de guérisseur.
Anch wasal wuyimp kudaay muntw, kuyiip kukeez kakuchirikin amwiineey	Si tu fais du mal à quelqu’un, ce mal se retournera plus tard contre toi-même
Anch wasaay kanam ka makam, kangal wafa wusany	Si tu dépiaute un digitigrade pour le consommer, tu dois éloigner de toi la honte.
Angiij apwiil kal, ashiil iin kwiipul	Il n’y a plus des soi-disant connaisseurs, il n’y a plus que de soi-disant ignorants.
Ankang akaat kunungan kurutw kwa kutwiik	Les pintades se concertent toujours avant de s’envoler.
Avaala ada mafund, eey anch mwimvum mwingend mwaan ee	Le femmes fécondes ont célébré cette fécondité mai toi tu prétends que tu es enceinte !
Avaalang kuchiila, eey anch bwiikukwany kakit	On procrée au grand jour mais tu veux le faire en cachette.
Chalo chalo, kakuswudielangap mwiit	Le bruit que vous produisez dans la forêt en piétinant les feuilles mortes et séchées a des échos au-delà de la forêt.
Chawaapil a wuchikw, kwacha muteen muyimp mwiin	La nuit une personne peut paraître belle, le jour venu on la voit plutôt moche.
Angakiril a Yesu Kristu	Les ancêtres de Jésus
‘Minam mawiy majin ma angakiril a Yesu Kristu, wa a majuku ma David, niyend David wading wa a majuku ma Aburaham.	Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.
Aburaham wamuvala Isak, Isak wamuvala Jakob, ni Jakob wamuvala Yuda ni anamakwend.	Abraham fut père d'Isaac, Isaac de Jacob, Jacob de Juda et de ses frères;
Yuda wamuvala Peres ni Zerak, wayivala nend Tamar. Peres wamuvala Hesiron ni Hesiron wamuvala Ram.	Juda fut père de Pérès et de Zéra  leur mère était Tamar , Pérès fut père de Hesron, Hesron de Ram;
Ram wamuvala Aminadab, Aminadab wamuvala Nakishon, ni Nakishon wamuvala Solomon.	Ram fut père d'Amminadab; Amminadab de Nachon, Nachon de Salman;
Solomon wamuvala Bowaz, wamuvala nend Rahab. Bowaz wamuvala Obed, wamuvala nend Rut. Obed wamuvala Yese	Salman fut père de Booz  Rahab était sa mère , Booz fut père d'Obed  Ruth était sa mère , Obed fut père de Jessé,
Yese wamuvala Mwant David, David wamuvala Salomon, wamuvala nend mband wa Uria.	et Jessé du roi David. David fut père de Salomon  sa mère avait été la femme d'Urie ;
Salomon wamuvala Robowam, Robowam wamuvala Abija, ni Abija wamuvala Asa.	Salomon fut père de Roboam, Roboam d'Abia, Abia d'Asaf;
Asa wamuvala Josafat, Josafat wamuvala Joram, ni Joram wamuvala Ozias.	Asaf fut père de Josaphat, Josaphat de Joram, Joram d'Ozias;
Ozias wamuvala Jotam Jotam wamuvala Akaz, ni Akaz wamuvala Ezekias.	Ozias fut père de Yotam, Yotam d'Akaz, Akaz d'Ézékias;
Ezekias wamuvala Manase, Manase wamuvala Amon, ni Amon wamuvala Yosias.	Ézékias fut père de Manassé, Manassé d'Amon, Amon de Josias;
Yosias wamuvala Jekonias ni anamakwend pa chisu chadingau ‘in Isarel mu winkwal ku Babilon.	Josias fut père de Yekonia et de ses frères, à l'époque où les Israélites furent déportés à Babylone.
Padiokalau in Isarel mu winkwal ku Babilon, Jekonias wamuvala Sheyalitiel, ni Sheyalitiel wamuvala Zorobabel.	Après que les Israélites eurent été déportés à Babylone, Yekonia fut père de Chéaltiel, et Chéaltiel de Zorobabel;
Zorobabel wamuvala Abiud, Abiud wamuvala Eliakim, ni Eliakim wamuvala Azor.	Zorobabel fut père d'Abihoud, Abihoud d'Éliakim; Éliakim d'Azor;
Azor wamuvala Sadok, Sadok wamuvala Akim, ni Akim wamuvala Eliud.	Azor fut père de Sadok, Sadok d'Achim, Achim d'Élioud;
Eliud wamuvala Eleyazar, Eleyazar wamuvala Matan, ni Matan wamuvala Jakob.	Élioud fut père d'Éléazar, Éléazar de Matthan, Matthan de Jacob;
Jakob wamuvala Josef, ikundj wa Mariy, makwend a Yesu, upidilau anch, Kristu Uzizidilau Many.	Jacob fut père de Joseph, l'époux de Marie; c'est d'elle qu'est né Jésus, appelé le Messie.
Chawiy kudiokal ku Aburaham djat ni ku David kwading majuku dikum ni manying. Kudiokal ku David djat ni payitwalau in Isarel mu winkwal ku Babilon, kwading majuku dikum ni manying. Kudiokal pa chirung chadiokalau mu winkwal djat ni kuvadik kwa Kristu Uzizidilau Many. kwading kand majuku dikum ni manying.	Il y eut donc en tout quatorze générations depuis Abraham jusqu'à David, puis quatorze depuis David jusqu'à l'époque où les Israélites furent déportés à Babylone, et quatorze depuis cette époque jusqu'à la naissance du Messie.
Kuvadik kwa Yesu Kristu	La naissance de Jésus-Christ
Kuvadik kwa Yesu Kristu kwading mwamu. Makwend Mariy ading amutonda kal kudi Josef. Pakwez padingau kand kal ijikijan, Mariy wading wimishin kal ku ukash wa Mwiku Utumbila.	Voici dans quelles circonstances Jésus-Christ est né. Marie, sa mère, était fiancée à Joseph; mais avant qu'ils aient vécu ensemble, elle se trouva enceinte par l'action du Saint-Esprit.
Josef wading muntu utentamina, kasotap kumukwatish Mariy usany pakach pa antu. Chad ndiy warijeka mutapu wa kumulik ku ujindj.	Joseph, son fiancé, était un homme droit et ne voulait pas la dénoncer publiquement; il décida de rompre secrètement ses fiançailles.
Pachadingay ni kutongijok mulong wa chom chinech, muruu wa mwiur wa Chinawej weza kudi ndiy mu chilat, wamwel anch: “Josef, wa a majuku ma David, kangal wov wom wa kumwat mukajey Mariy, mulong ndiy wimisha ku ukash wa Mwiku Utumbila.	Comme il y pensait, un ange du Seigneur lui apparut dans un rêve et lui dit: «Joseph, descendant de David, ne crains pas d'épouser Marie, car c'est par l'action du Saint-Esprit qu'elle attend un enfant.
Ndiy ukez kuval mwan ikundj, chad ey ukez kumupil anch Yesu, mulong ndiy ukez kuyipandish antwend ku yitil yau.”	Elle mettra au monde un fils, que tu appelleras Jésus, car il sauvera son peuple de ses péchés.»
Chom chinech chamekana mulong wa kuwanyish mazu ma Chinawej mamulejay muruu wend anch:	Tout cela arriva afin que se réalise ce que le Seigneur avait dit par le prophète:
“Changadim wakad kumwijik ikundj ukez kwimish, chad ukez kuval mwan ikundj ukez kupilau anch, Emanuwel, charumburik anch, Nzamb udi ni yetwetu.”	«La vierge sera enceinte et mettra au monde un fils, qu'on appellera Emmanuel.»  Ce nom signifie «Dieu est avec nous».
Chalankay Josef pa tul, ndiy wasala mudi mwamulejau kudi muruu wa mwiur, ndiy wamwata mukajend Mariy.	Quand Joseph se réveilla, il agit comme l'ange du Seigneur le lui avait ordonné et prit Marie comme épouse.
Pakwez ndiy kasankanap nend djat ni pavalay mwanend ikundj. Chad Josef wamupila anch, Yesu.	Mais il n'eut pas de relations avec elle jusqu'à ce qu'elle ait mis au monde son fils, que Joseph appela Jésus.
In manangu a kwingangel akat kwez ni kumutal Yesu	Des savants viennent voir Jésus
Yesu wavadika mu ul wa Betlehem mwi ngand ya Yudeya, pa chirung chadingay Herod mwant. Pa chisu chinicha in manangu amwing ilejina yom ya atutumbu, adiokala kwingangel, ez ku Yerusalem.	Jésus naquit à Bethléem, en Judée, à l'époque où Hérode était roi. Après sa naissance, des savants, spécialistes des étoiles, vinrent d'Orient. Ils arrivèrent à Jérusalem
Awiy ipula anch: “Ov, kwisu kwavadikinay mwan ukeza kwikal mwant wa in Yuda? Etu twamen katumbu wend udiokil kwingangel, chad twezin mulong wa kumwifukwil.”	et demandèrent: «Où est l'enfant qui vient de naître, le roi des Juifs? Nous avons vu son étoile apparaître en Orient et nous sommes venus l'adorer.»
Chovay Herod rusangu riner, kamanap kand mwakutwadil, pamwing ni antu awonsu a mu Yerusalem.	Quand le roi Hérode apprit cette nouvelle, il fut troublé, ainsi que toute la population de Jérusalem.
Ndiy wayikumangeja in kupesh ajim awonsu ni alej a Yijil, wayipul anch: “Ov, kwisu kukuvadikay Kristu Uzizidilau Many?”	Il convoqua tous les chefs des prêtres et les maîtres de la loi, et leur demanda où le Messie devait naître.
Awiy amwakula anch: “Ukuvadikin mu ul wa Betlehem mwi ngand ya Yudeya, mulong muruu wa Nzamb wafunda anch:	Ils lui répondirent: «A Bethléem, en Judée. Car voici ce que le prophète a écrit:
‘Ey, Betlehem, mwi ngand ya Yuda, kiudiap kakemp kupandakanamu misumb yawonsu ya mu Yuda. Mukach mwa antwey nikez kumubudish mwin kutakel wa antwam in Isarel.’ ”	“Et toi, Bethléem, au pays de Juda, tu n'es certainement pas la moins importante des localités de Juda; car c'est de toi que viendra un chef qui conduira mon peuple, Israël.” »
Chawiy Herod wayitazuka ku ujindj in manangu adiokala kwingangel, wayipompish ni kushinshik chakwel amuleja kamu chisu chamekanay katumbu.	Alors Hérode convoqua secrètement les savants et s'informa auprès d'eux du moment précis où l'étoile était apparue.
Chad ndiy wayituma ku Betlehem, wayilej anch: “Yangany, ukamusurabany mwan. Anch wamumanany nlejanyamu, chakwel niya kand ni kumwifukwil.”	Puis il les envoya à Bethléem, en leur disant: «Allez chercher des renseignements précis sur l'enfant; et quand vous l'aurez trouvé, faites-le-moi savoir, afin que j'aille, moi aussi, l'adorer.»
Chadiokalau kudi mwant, awila mwi njil, chad amumana katumbu wamanau kwingangel. Katumbu wayitakela djat ni pimanay pa ndond padingay mwan.	Après avoir reçu ces instructions du roi, ils partirent. Ils virent alors l'étoile qu'ils avaient déjà remarquée en Orient: elle allait devant eux, et quand elle arriva au-dessus de l'endroit où se trouvait l'enfant, elle s'arrêta.
Awiy asangara nakash kupandakan pamumanau kand katumbu.	Ils furent remplis d'une très grande joie en la voyant là.
Andama mu chikumbu, amuman mwan ni makwend Mariy. Chad asa manungun pansh, amwifukwil mwan. Aburila mu yipau yau, abudish yom ya matangal, utad wa or, ni diseng dia malash, ni malash ma rupwembu ruwamp, chad amwinkish mwan.	Ils entrèrent dans la maison et virent l'enfant avec sa mère, Marie. Ils se mirent à genoux pour adorer l'enfant; puis ils ouvrirent leurs bagages et lui offrirent des cadeaux: de l'or, de l'encens et de la myrrhe.
Chad Nzamb wayibabesha mu chilat chakwel kangal achirik kwa Herod. Awiy asutila mwi njil yikwau, achirik kwol kwau.	Ensuite, Dieu les avertit dans un rêve de ne pas retourner auprès d'Hérode; ils prirent alors un autre chemin pour rentrer dans leur pays.
Akat kuchinyin mu Idjibit	La fuite en Égypte
Chayau in manangu, muruu wa mwiur wa Chinawej wamekana kudi Josef mu chilat. Wamubabesha anch: “Herod ukez kumukimb mwan mulong wa kumujip. Chawiy tumbuk, yangany ni mwan ni makwend, uchinyinany mwi ngand ya Idjibit. Ukashakamany mwinimwa djat ni pinikez kukulejany kudiokalamu.”	Quand les savants furent partis, un ange du Seigneur apparut à Joseph dans un rêve et lui dit: «Debout, prends avec toi l'enfant et sa mère et fuis en Égypte; restes-y jusqu'à ce que je te dise de revenir. Car Hérode va rechercher l'enfant pour le faire mourir.»
Uchuku wawiy winiwa, Josef walanka, wamusend mwan ni makwend, aya ku Idjibit.	Joseph se leva donc, prit avec lui l'enfant et sa mère, en pleine nuit, et se réfugia en Égypte.
Awiy ashakama kwinikwa djat ni pafilay Herod. Chom chinech chamekana mulong wa kuwanyish mazu malonday Chinawej kudi muruu wend anch: “Namutazuka Mwanam kudiokal ku Idjibit.”	Il y resta jusqu'à la mort d'Hérode. Cela arriva afin que se réalise ce que le Seigneur avait dit par le prophète: «J'ai appelé mon fils à sortir d'Égypte.»
Akat kuyijip an	Le massacre des enfants
Chijikay Herod anch, in manangu adiokala kwingangel, amudimbil kal, ndiy wajimana nakash. Ndiy walejana kuyijip an amakundj awonsu a mu Betlehem ni mu makunku ma piswimp avadika pa chisu chinicha, kushik ni ku an akweta mivu yaad. Ndiy wasala yom yiney mulong wa yom yateshay kudi in manangu, pa chisu chamekanay katumbu.	Quand Hérode se rendit compte que les savants l'avaient trompé, il entra dans une grande colère. Il donna l'ordre de tuer, à Bethléem et dans les environs, tous les garçons de moins de deux ans; cette limite d'âge correspondait aux indications que les savants lui avaient données.
Mwamu mumawanyina mazu malonday Jeremiy, muruu wa Nzamb, anch:	Alors se réalisa ce qu'avait déclaré le prophète Jérémie:
“Dipumb diovakana mu Rama, dipumb dia madil makash. Rechel ukat kudil mulong wa anend. Ulikin kumwongoj, mulong anend afa kal.”	«On a entendu une plainte à Rama, des pleurs et de grandes lamentations. C'est Rachel qui pleure ses enfants, elle ne veut pas être consolée, car ils sont morts.»
Akat kudiokal ku Idjibit	Le retour d'Égypte
Pafay Herod, muruu wa mwiur wa Chinawej wamekana kudi Josef mu chilat ku Idjibit.	Après la mort d'Hérode, un ange du Seigneur apparut dans un rêve à Joseph, en Égypte.
Wamuleja anch: “Lank, musenda mwan ni makwend, uchirik nau mwi ngand ya Isarel, mulong adia asotila kumujip mwan afil kwau.”	Il lui dit: «Debout, prends avec toi l'enfant et sa mère et retourne au pays d'Israël, car ceux qui cherchaient à faire mourir l'enfant sont morts.»
Chad Josef walanka, wamusend mwan ni makwend, wachirik nau mwi ngand ya Isarel.	Joseph se leva donc, prit avec lui l'enfant et sa mère et retourna au pays d'Israël.
Pakwez Josef, chateshay anch, Arkelaus wamuswan kal tatukwend Herod kwikal mwant wa ngand ya Yudeya, ndiy wova wom wa kuya kwinikwa. Nzamb wamubabesha Josef mu chilat, chad ndiy waya mwi ngand ya Galalia.	Mais il apprit qu'Archélaos avait succédé à son père Hérode comme roi de Judée; alors il eut peur de s'y rendre. Il reçut de nouvelles indications dans un rêve, et il partit pour la province de Galilée.
Ndiy waya wakashakam mu ul wa Nazaret. Mwamu mawanyina mazu malondau aruu a Nzamb anch: “Akez kumupil anch, mwin Nazaret.”	Il alla s'établir dans une ville appelée Nazareth. Il en fut ainsi pour que se réalise cette parole des prophètes: «Il sera appelé Nazaréen.»
Yohan Mubatish ukat kurumburil dizu dia Nzamb	La prédication de Jean-Baptiste
Mu machuku minima Yohan Mubatish waya mwi mpay ya Yudeya, chad wasambish kurumburil mazu ma Nzamb.	En ce temps-là, Jean-Baptiste parut dans le désert de Judée et se mit à prêcher:
Walondanga anch: “Karumukany, udiokalany ku yitil yen, mulong Want wa Mwiur udi piswimp!”	«Changez de comportement, disait-il, car le Royaume des cieux s'est approché!»
Yohan, ndiy kamu walejanau kudi Isay, muruu wa Chinawej, palonday anch: “Muntu umwing ukat komb rubil mwi mpay anch: ‘Wapishany njil ya Nsalejetu, rijekany salal mukombil wend	Jean est celui dont le prophète Ésaïe a parlé lorsqu'il a dit: «Un homme crie dans le désert: Préparez le chemin du Seigneur, faites-lui des sentiers bien droits!»
Yohan wading udjit yidjal ya unyev wa nnam ukweta ndund pa nyim, wading kand udjit nshipu ya chikit mwi mbund. Wading ni kudia atubwol ni woch.	Le vêtement de Jean était fait de poils de chameau et il portait une ceinture de cuir autour de la taille; il mangeait des sauterelles et du miel sauvage.
Antu adiokalanga ku Yerusalem, ni mwi ngand yawonsu ya Yudeya, ni mwi ngand yawonsu yadinga piswimp ni wit wa Yordan, ezanga kudi ndiy.	Les habitants de Jérusalem, de toute la Judée et de toute la région voisine de la rivière, le Jourdain, allaient à lui.
Awiy itiyina yitil yau patok, chad ndiy wayibatisha mu wit wa Yordan.	Ils confessaient publiquement leurs péchés et Jean les baptisait dans le Jourdain.
Yohan, chamanay Afaris nau Asadus avud akat kwez kudi ndiy mulong wa kuyibatish, ndiy wayela anch: “En annak! Ov,	Jean vit que beaucoup de Pharisiens et de Sadducéens venaient à lui pour être baptisés; il leur dit alors: «Bande de serpents! Qui vous a enseigné à vouloir échapper au jugement de Dieu, qui est proche?
nany wakulejanya anch, ukutwish kwiyepany ku kadimu kakuletay Chinawej? Salany yom yikutwisha kumekesh anch, wakarumukinany kal kudiokal ku yitil yen.	Montrez par des actes que vous avez changé de mentalité
Kangal walamitinany kulond anch: ‘Aburaham udi nshankur wetu.’ Chakin kamu, nakulejany anch, Nzamb ukutwish kukarumun mayal minam kwikal antu a a majuku ma Aburaham!	et ne pensez pas qu'il suffit de dire en vous-mêmes: “Abraham est notre ancêtre.” Car je vous déclare que Dieu peut utiliser les pierres que voici pour en faire des descendants d'Abraham!
Kasok kalel kwishin kwa mitond mulong wa kukatul mij. Chawiy mutond wawonsu wakad kusong mabuj mawamp, akez kuukatul, audjibul mu kasu.	La hache est déjà prête à couper les arbres à la racine: tout arbre qui ne produit pas de bons fruits va être coupé et jeté au feu.
Am nakubatishany kal nich mem mulong wa kumekesh anch, wakarumukany kal kudiokal ku yitil yen. Pakwez muntu ukweza kwinyim kwam ukez kukubatishany ni Mwiku Utumbila nich kasu. Ndiy wimpandakenamu am. Am kinidiap muwamp uwanyidina ap kusend yisapat yend.	Moi, je vous baptise avec de l'eau pour montrer que vous changez de comportement; mais celui qui vient après moi vous baptisera avec le Saint-Esprit et avec du feu. Il est plus puissant que moi: je ne suis pas même digne d'enlever ses chaussures.
Ndiy ukwet kal ral mu makas mend, chakwel ukutwish kupep mulong wa kwauril mbut ni yipapal. Ukez kukumangej mbut mwi nkil yend, pakwez yipapal ukez kuyosh mu kasu kakad kujimang.”	Il tient en sa main la pelle à vanner et séparera le grain de la paille. Il amassera son grain dans le grenier, mais il brûlera la paille dans un feu qui ne s'éteint jamais.»
Akat kumubatish Yesu	Le baptême de Jésus
Chad Yesu wadiokala ku Galalia, wez kudi Yohan ku wit wa Yordan chakwel amubatish.	Alors Jésus vint de la Galilée au Jourdain; il arriva auprès de Jean pour être baptisé par lui.
Pakwez Yohan wela kumukangesh, wamwel anch: “Am yam nifanyidina kwimbatish kudi ey, ov, ey weza kand kudi am?”	Jean s'y opposait et lui disait: «C'est moi qui devrais être baptisé par toi et c'est toi qui viens à moi!»
Pakwez Yesu wamwakula anch: “Pakwez katat, sal bil kwey mwamu. Mulong mutapu winou tukutwish kuwanyish kutenchik kwawonsu kwa Nzamb.” Chawiy Yohan witiya.	Mais Jésus lui répondit: «Accepte qu'il en soit ainsi pour le moment. Car voilà comment nous devons accomplir tout ce que Dieu demande.» Alors Jean accepta.
Chamubatishau Yesu, ndiy watuntuka mu mem. Pawiy kamu pinipa diur diamwanzurikina ndiy, chad wamana Mwiku wa Nzamb wading mudi iyemb wamushirikina.	Dès que Jésus fut baptisé, il sortit de l'eau. Au même moment le ciel s'ouvrit pour lui: il vit l'Esprit de Dieu descendre comme une colombe et venir sur lui.
Chawiy dizu diadiokala mwiur anch: “Ey udi Mwanam unikatila nakash. Am nikat kusangar mulong weyey.”	Et une voix venant du ciel déclara: «Celui-ci est mon Fils bien-aimé; je mets en lui toute ma joie.»
Akat kumwoz Yesu	La tentation de Jésus
Chad Mwiku Utumbila wamutwala mwi mpay chakwel akutwish kumwoz kudi Sakudimban.	Ensuite l'Esprit de Dieu conduisit Jésus dans le désert pour qu'il y soit tenté par le diable.
Walala mwinimwa machuku makum manying ma muten, ni makum manying ma uchuku wakad kudia, chad Yesu wova nzal.	Après avoir passé quarante jours et quarante nuits sans manger, Jésus eut faim.
Chawiy Sakudimban weza kudi ndiy, wamulej anch: “Anch ey udi Mwan a Nzamb, idiela bil diyal ed dikarumuka kwikal yakudia.”	Le diable, le tentateur, s'approcha et lui dit: «Si tu es le Fils de Dieu, ordonne à ces pierres de se changer en pains.»
Yesu wamwakula anch: “Mukand wa Nzamb ulondil anch: ‘Muntu kakutwishap kwikal mwom mulong wa yakudia kusu, pakwez ukwet kuswir kwa mazu mawonsu makat kulonday Nzamb.’ ”	Jésus répondit: «L'Écriture déclare: “L'homme ne vivra pas de pain seulement, mais de toute parole que Dieu prononce.” »
Chad Sakudimban wamutwala Yesu ku Yerusalem, Musumb Utumbila, wamukandjik pa musong wa Chikumbu cha Nzamb.	Alors le diable l'emmena jusqu'à Jérusalem, la ville sainte, le plaça au sommet du temple
Chad wamwela anch: “Anch ey udi Mwan a Nzamb, idjibula bil pansh, mulong Mukand wa Nzamb ulondil anch: ‘Nzamb ukez kuyilej aruu end a mwiur mulong weyey. Awiy akez kukwakil pa makas mau, chakwel mend yey kiyikwipwakalap ku mayal.’ ”	et lui dit: «Si tu es le Fils de Dieu, jette-toi en bas; car l'Écriture déclare: “Dieu donnera pour toi des ordres à ses anges et ils te porteront sur leurs mains pour éviter que ton pied ne heurte une pierre.” »
Yesu wamwakula anch: “Mukand wa Nzamb ulondil anch: ‘Kangal wamupak Chinawej Nzamb wey.’ ”	Jésus lui répondit: «L'Écriture déclare aussi: “Ne mets pas à l'épreuve le Seigneur ton Dieu.” »
Chad Sakudimban wamutwala Yesu piur pa mukandu ulemp, wamulej mant mawonsu ma pa mangand ni uyaj wau.	Le diable l'emmena encore sur une très haute montagne, lui fit voir tous les royaumes du monde et leur splendeur,
Wamuleja anch: “Am nikez kukwinkish yom yiney yawonsu anch ey wangifukwil am.”	et lui dit: «Je te donnerai tout cela, si tu te mets à genoux devant moi pour m'adorer.»
Chad Yesu wamwakula anch: “Sakudimban, diokal pinap! Mukand wa Nzamb ulondil anch: ‘Chifanyidin kumwifukwil Chinawej Nzamb wey, ni kumusadil ndiy kusu!’ ”	Alors Jésus lui dit: «Va-t'en, Satan! Car l'Écriture déclare: “Adore le Seigneur ton Dieu et ne rends de culte qu'à lui seul.” »
Chawiy Sakudimban wamusha Yesu, chad aruu a mwiur eza amukwash.	Cette fois le diable le laissa. Des anges vinrent alors auprès de Jésus et se mirent à le servir.
Yesu ukat kusambish mudimu wend mu Galalia	Jésus commence son œuvre en Galilée
Chateshay Yesu anch, Yohan amutekin kal mu rukan, ndiy waya kwend mwi ngand ya Galalia.	Quand Jésus apprit que Jean avait été mis en prison, il s'en alla en Galilée.
Ndiy kashakamap mu ul wa Nazaret, pakwez waya wakashakam mu Kapernaum, ul udia kuns kwa dijiy dia Galalia, mwi ngand ya Zabulon ni ya Nefitali.	Il ne resta pas à Nazareth, mais alla demeurer à Capernaüm, ville située au bord du lac de Galilée, dans la région de Zabulon et de Neftali.
Ndiy wasala mwamu mulong wa kuwanyish mazu malonday Isay, muruu wa Nzamb, anch:	Il en fut ainsi afin que se réalisent ces paroles du prophète Ésaïe:
“Ngand ya Zabulon ni ngand ya Nefitali, ngand yidia kuns kwa karung, ngand yidia mutambu wa kwingangel wa wit wa Yordan, ni ngand kand ya Galalia mushichau in michid yikwau! :	«Région de Zabulon, région de Neftali, en direction de la mer, de l'autre côté du Jourdain, Galilée qu'habitent des non-Juifs!
Antu akata kushakam mu mididim, akez kuman kutok kujim. Antu ashicha mwi ngand ya mididim ya rufu, chimunyik chikez kuyimunyikin.”	Le peuple qui vit dans la nuit verra une grande lumière! Pour ceux qui vivent dans le sombre pays de la mort, la lumière apparaîtra!»
